Title,Likes
His mother had always taught him,"{'likes': 192, 'dislikes': 25}"
He was an expert but not in a discipline,"{'likes': 859, 'dislikes': 32}"
Dave watched as the forest burned up on the hill.,"{'likes': 1448, 'dislikes': 39}"
All he wanted was a candy bar.,"{'likes': 359, 'dislikes': 18}"
Hopes and dreams were dashed that day.,"{'likes': 119, 'dislikes': 30}"
Dave wasn't exactly sure how he had ended up,"{'likes': 15, 'dislikes': 8}"
This is important to remember.,"{'likes': 127, 'dislikes': 26}"
One can cook on and with an open fire.,"{'likes': 1271, 'dislikes': 36}"
There are different types of secrets.,"{'likes': 703, 'dislikes': 18}"
They rushed out the door.,"{'likes': 455, 'dislikes': 3}"
